N,W_IN,W_FB,AUC
80,0.300000,0.500000,0.608
80,0.300000,0.600000,0.479
80,0.300000,0.700000,0.507
80,0.300000,0.800000,0.513
80,0.300000,0.900000,0.531
80,0.400000,0.100000,0.795
80,0.400000,0.200000,0.774
80,0.400000,0.300000,0.745
80,0.400000,0.400000,0.660
80,0.400000,0.500000,0.622
80,0.400000,0.600000,0.506
80,0.400000,0.700000,0.496
80,0.400000,0.800000,0.531
80,0.400000,0.900000,0.546
80,0.500000,0.100000,0.791
80,0.500000,0.200000,0.775
80,0.500000,0.300000,0.747
80,0.500000,0.400000,0.662
80,0.500000,0.500000,0.631
80,0.500000,0.600000,0.494
80,0.500000,0.700000,0.500
80,0.500000,0.800000,0.523
80,0.500000,0.900000,0.559
80,0.600000,0.100000,0.791
80,0.600000,0.200000,0.777
80,0.600000,0.300000,0.748
80,0.600000,0.400000,0.663
80,0.600000,0.500000,0.640
80,0.600000,0.600000,0.483
80,0.600000,0.700000,0.492
80,0.600000,0.800000,0.549
80,0.600000,0.900000,0.535
80,0.700000,0.100000,0.796
80,0.700000,0.200000,0.776
80,0.700000,0.300000,0.747
80,0.700000,0.400000,0.665
80,0.700000,0.500000,0.644
80,0.700000,0.600000,0.505
80,0.700000,0.700000,0.487
80,0.700000,0.800000,0.532
80,0.700000,0.900000,0.556
80,0.800000,0.100000,0.794
80,0.800000,0.200000,0.778
80,0.800000,0.300000,0.744
80,0.800000,0.400000,0.666
80,0.800000,0.500000,0.636
80,0.800000,0.600000,0.496
80,0.800000,0.700000,0.492
80,0.800000,0.800000,0.533
80,0.800000,0.900000,0.565
80,0.900000,0.100000,0.788
80,0.900000,0.200000,0.779
80,0.900000,0.300000,0.745
80,0.900000,0.400000,0.666
80,0.900000,0.500000,0.628
80,0.900000,0.600000,0.489
80,0.900000,0.700000,0.493
80,0.900000,0.800000,0.527
80,0.900000,0.900000,0.552
90,0.100000,0.100000,0.797
90,0.100000,0.200000,0.778
90,0.100000,0.300000,0.742
90,0.100000,0.400000,0.544
90,0.100000,0.500000,0.541
90,0.100000,0.600000,0.492
90,0.100000,0.700000,0.512
90,0.100000,0.800000,0.513
90,0.100000,0.900000,0.512
90,0.200000,0.100000,0.797
90,0.200000,0.200000,0.778
90,0.200000,0.300000,0.742
90,0.200000,0.400000,0.667
90,0.200000,0.500000,0.571
90,0.200000,0.600000,0.513
90,0.200000,0.700000,0.494
90,0.200000,0.800000,0.516
90,0.200000,0.900000,0.534
90,0.300000,0.100000,0.797
90,0.300000,0.200000,0.779
90,0.300000,0.300000,0.746
90,0.300000,0.400000,0.662
90,0.300000,0.500000,0.608
90,0.300000,0.600000,0.479
90,0.300000,0.700000,0.507
90,0.300000,0.800000,0.513
90,0.300000,0.900000,0.531
90,0.400000,0.100000,0.795
90,0.400000,0.200000,0.774
90,0.400000,0.300000,0.745
90,0.400000,0.400000,0.660
90,0.400000,0.500000,0.622
90,0.400000,0.600000,0.506
90,0.400000,0.700000,0.496
90,0.400000,0.800000,0.531
90,0.400000,0.900000,0.546
90,0.500000,0.100000,0.791
90,0.500000,0.200000,0.775
90,0.500000,0.300000,0.747
90,0.500000,0.400000,0.662
90,0.500000,0.500000,0.631
90,0.500000,0.600000,0.494
90,0.500000,0.700000,0.500
90,0.500000,0.800000,0.523
90,0.500000,0.900000,0.559
90,0.600000,0.100000,0.791
90,0.600000,0.200000,0.777
90,0.600000,0.300000,0.748
90,0.600000,0.400000,0.663
90,0.600000,0.500000,0.640
90,0.600000,0.600000,0.483
90,0.600000,0.700000,0.492
90,0.600000,0.800000,0.549
90,0.600000,0.900000,0.535
